 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos maternosÓbitos maternos tardios por Município
Período:1996-2021
"Município";"Óbitos_maternos";"Óbitos_maternos_tardios"
"150125 BANNACH";1;-
"150130 BARCARENA";26;1
"150140 BELEM";351;17
"150145 BELTERRA";7;-
"150150 BENEVIDES";10;2
"150157 BOM JESUS DO TOCANTINS";3;-
"150160 BONITO";3;-
"150170 BRAGANCA";44;3
"150172 BRASIL NOVO";5;-
"150175 BREJO GRANDE DO ARAGUAIA";4;-
"150178 BREU BRANCO";15;-
"150180 BREVES";47;2
"150190 BUJARU";9;-
"150195 CACHOEIRA DO PIRIA";10;1
"150200 CACHOEIRA DO ARARI";5;-
"150210 CAMETA";32;2
"150215 CANAA DOS CARAJAS";10;-
"150220 CAPANEMA";17;2
"150230 CAPITAO POCO";20;1
"150240 CASTANHAL";44;-
"150250 CHAVES";7;1
"150260 COLARES";3;-
"150270 CONCEICAO DO ARAGUAIA";18;-
"150275 CONCORDIA DO PARA";11;-
"150276 CUMARU DO NORTE";2;-
"150277 CURIONOPOLIS";9;-
"150280 CURRALINHO";15;-
"150285 CURUA";5;-
"150290 CURUCA";5;-
"150293 DOM ELISEU";17;-
"150295 ELDORADO DOS CARAJAS";15;-
"150300 FARO";6;-
"150304 FLORESTA DO ARAGUAIA";6;1
"150307 GARRAFAO DO NORTE";7;-
"150309 GOIANESIA DO PARA";16;-
"150310 GURUPA";6;-
"150320 IGARAPE-ACU";8;1
"150330 IGARAPE-MIRI";29;2
"150340 INHANGAPI";1;-
"150345 IPIXUNA DO PARA";14;1
"150350 IRITUIA";8;1
"150360 ITAITUBA";47;1
"150370 ITUPIRANGA";23;-
"150375 JACAREACANGA";11;-
"150380 JACUNDA";16;-
"150390 JURUTI";17;-
"150400 LIMOEIRO DO AJURU";8;-
"150405 MAE DO RIO";16;-
"150410 MAGALHAES BARATA";-;-
"150420 MARABA";120;2
"150430 MARACANA";3;1
"150440 MARAPANIM";5;-
"150442 MARITUBA";25;1
"150445 MEDICILANDIA";6;-
"150450 MELGACO";14;-
"150460 MOCAJUBA";13;-
"150470 MOJU";20;2
"150475 MOJUI DOS CAMPOS";3;-
"150480 MONTE ALEGRE";17;-
"150490 MUANA";8;-
"150495 NOVA ESPERANCA DO PIRIA";8;-
"150497 NOVA IPIXUNA";3;-
"150500 NOVA TIMBOTEUA";4;-
"150503 NOVO PROGRESSO";11;1
"150506 NOVO REPARTIMENTO";18;2
"150510 OBIDOS";12;1
"150520 OEIRAS DO PARA";21;1
"150530 ORIXIMINA";26;-
"150540 OUREM";8;-
"150543 OURILANDIA DO NORTE";11;1
"150548 PACAJA";20;-
"150549 PALESTINA DO PARA";2;-
"150550 PARAGOMINAS";36;1
"150553 PARAUAPEBAS";69;5
"150555 PAU D'ARCO";2;-
"150560 PEIXE-BOI";2;-
"150563 PICARRA";1;-
"150565 PLACAS";6;-
"150570 PONTA DE PEDRAS";15;1
"150580 PORTEL";32;-
"150590 PORTO DE MOZ";12;-
"150600 PRAINHA";9;-
"150610 PRIMAVERA";3;-
"150611 QUATIPURU";3;1
"150613 REDENCAO";21;1
"150616 RIO MARIA";10;-
"150618 RONDON DO PARA";7;-
"150619 RUROPOLIS";5;-
"150620 SALINOPOLIS";16;1
"150630 SALVATERRA";6;-
"150635 SANTA BARBARA DO PARA";2;-
"150640 SANTA CRUZ DO ARARI";1;-
"150650 SANTA IZABEL DO PARA";15;1
"150655 SANTA LUZIA DO PARA";10;-
"150658 SANTA MARIA DAS BARREIRAS";3;-
"150660 SANTA MARIA DO PARA";7;-
"150670 SANTANA DO ARAGUAIA";8;-
"150680 SANTAREM";125;6
"150690 SANTAREM NOVO";1;-
"150700 SANTO ANTONIO DO TAUA";17;-
"150710 SAO CAETANO DE ODIVELAS";2;1
"150715 SAO DOMINGOS DO ARAGUAIA";10;-
"150720 SAO DOMINGOS DO CAPIM";11;-
"150730 SAO FELIX DO XINGU";22;-
"150740 SAO FRANCISCO DO PARA";3;-
"150745 SAO GERALDO DO ARAGUAIA";16;-
"150746 SAO JOAO DA PONTA";-;-
"150747 SAO JOAO DE PIRABAS";3;-
"150750 SAO JOAO DO ARAGUAIA";4;-
"150760 SAO MIGUEL DO GUAMA";18;-
"150770 SAO SEBASTIAO DA BOA VISTA";13;1
"150775 SAPUCAIA";2;-
"150780 SENADOR JOSE PORFIRIO";4;-
"150790 SOURE";8;-
"150795 TAILANDIA";26;2
"150796 TERRA ALTA";2;-
"150797 TERRA SANTA";7;-
"150800 TOME-ACU";24;-
"150803 TRACUATEUA";12;1
"150805 TRAIRAO";10;-
"150808 TUCUMA";7;-
"150810 TUCURUI";23;-
"150812 ULIANOPOLIS";11;-
"150815 URUARA";11;-
"150820 VIGIA";13;-
"150830 VISEU";23;2
"150835 VITORIA DO XINGU";4;-
"150840 XINGUARA";19;-
" MUNICIPIO IGNORADO - AP";-;-
"160005 SERRA DO NAVIO";-;-
"160010 AMAPA";2;-
"160015 PEDRA BRANCA DO AMAPARI";2;-
"160020 CALCOENE";2;-
"160021 CUTIAS";4;-
"160023 FERREIRA GOMES";4;-
"160025 ITAUBAL";1;-
"160027 LARANJAL DO JARI";8;-
"160030 MACAPA";130;6
"160040 MAZAGAO";5;-
"160050 OIAPOQUE";7;-
"160053 PORTO GRANDE";3;-
"160055 PRACUUBA";1;-
"160060 SANTANA";26;-
"160070 TARTARUGALZINHO";10;-
"160080 VITORIA DO JARI";1;-
" MUNICIPIO IGNORADO - TO";-;-
"170025 ABREULANDIA";-;-
"170030 AGUIARNOPOLIS";4;-
"170035 ALIANCA DO TOCANTINS";7;-
"170040 ALMAS";4;-
"170070 ALVORADA";2;-
"170100 ANANAS";4;-
"170105 ANGICO";-;-
"170110 APARECIDA DO RIO NEGRO";-;-
"170130 ARAGOMINAS";3;-
"170190 ARAGUACEMA";3;-
"170200 ARAGUACU";2;-
"170210 ARAGUAINA";36;1
"170215 ARAGUANA";2;-
"170220 ARAGUATINS";10;-
"170230 ARAPOEMA";2;-
"170240 ARRAIAS";4;-
"170255 AUGUSTINOPOLIS";3;1
"170270 AURORA DO TOCANTINS";2;-
"170290 AXIXA DO TOCANTINS";3;1
"170300 BABACULANDIA";4;-
"170305 BANDEIRANTES DO TOCANTINS";1;-
"170307 BARRA DO OURO";1;-
"170310 BARROLANDIA";3;1
"170320 BERNARDO SAYAO";4;-
"170330 BOM JESUS DO TOCANTINS";1;-
"170360 BRASILANDIA DO TOCANTINS";-;-
"170370 BREJINHO DE NAZARE";2;1
"170380 BURITI DO TOCANTINS";3;-
"170382 CACHOEIRINHA";1;-
"170384 CAMPOS LINDOS";6;-
"170386 CARIRI DO TOCANTINS";-;-
"170388 CARMOLANDIA";-;-
"170389 CARRASCO BONITO";1;-
"170390 CASEARA";-;-
"170410 CENTENARIO";1;-
"170460 CHAPADA DE AREIA";-;-
"170510 CHAPADA DA NATIVIDADE";-;-
"170550 COLINAS DO TOCANTINS";15;-
"170555 COMBINADO";1;-
"170560 CONCEICAO DO TOCANTINS";2;-
"170600 COUTO MAGALHAES";3;-
"170610 CRISTALANDIA";3;-
"170625 CRIXAS DO TOCANTINS";1;-
"170650 DARCINOPOLIS";6;-
"170700 DIANOPOLIS";4;1
"170710 DIVINOPOLIS DO TOCANTINS";-;-
"170720 DOIS IRMAOS DO TOCANTINS";3;-
"170730 DUERE";-;-
"170740 ESPERANTINA";3;-
"170755 FATIMA";-;-
"170765 FIGUEIROPOLIS";1;-
"170770 FILADELFIA";3;-
"170820 FORMOSO DO ARAGUAIA";7;-
"170825 FORTALEZA DO TABOCAO";1;-
"170830 GOIANORTE";2;-
"170900 GOIATINS";7;-
"170930 GUARAI";5;-
"170950 GURUPI";18;-
"170980 IPUEIRAS";1;-
"171050 ITACAJA";2;1
"171070 ITAGUATINS";6;1
"171090 ITAPIRATINS";1;-
"171110 ITAPORA DO TOCANTINS";1;-
"171150 JAU DO TOCANTINS";1;-
"171180 JUARINA";1;-
"171190 LAGOA DA CONFUSAO";5;-
"171195 LAGOA DO TOCANTINS";1;-
"171200 LAJEADO";-;-
"171215 LAVANDEIRA";1;-
"171240 LIZARDA";1;-
"171245 LUZINOPOLIS";1;-
"171250 MARIANOPOLIS DO TOCANTINS";-;-
"171270 MATEIROS";1;-
"171280 MAURILANDIA DO TOCANTINS";4;1
"171320 MIRACEMA DO TOCANTINS";4;-
"171330 MIRANORTE";9;-
"171360 MONTE DO CARMO";1;-
"171370 MONTE SANTO DO TOCANTINS";1;-
"171380 PALMEIRAS DO TOCANTINS";1;-
"171395 MURICILANDIA";-;-
"171420 NATIVIDADE";2;1
"171430 NAZARE";1;-
"171488 NOVA OLINDA";4;-
"171500 NOVA ROSALANDIA";-;-
"171510 NOVO ACORDO";-;-
"171515 NOVO ALEGRE";1;-
"171525 NOVO JARDIM";2;-
"171550 OLIVEIRA DE FATIMA";-;-
"171570 PALMEIRANTE";2;-
"171575 PALMEIROPOLIS";-;-
"171610 PARAISO DO TOCANTINS";14;-
"171620 PARANA";5;-
"171630 PAU D'ARCO";-;-
"171650 PEDRO AFONSO";6;-
"171660 PEIXE";2;-
"171665 PEQUIZEIRO";1;-
"171670 COLMEIA";7;-
"171700 PINDORAMA DO TOCANTINS";-;-
"171720 PIRAQUE";1;-
"171750 PIUM";2;-
"171780 PONTE ALTA DO BOM JESUS";-;1
"171790 PONTE ALTA DO TOCANTINS";4;-
"171800 PORTO ALEGRE DO TOCANTINS";2;-
"171820 PORTO NACIONAL";20;-
"171830 PRAIA NORTE";1;1
"171840 PRESIDENTE KENNEDY";1;1
"171845 PUGMIL";-;-
"171850 RECURSOLANDIA";2;-
"171855 RIACHINHO";3;-
"171865 RIO DA CONCEICAO";-;-
"171870 RIO DOS BOIS";-;-
"171875 RIO SONO";-;-
"171880 SAMPAIO";4;-
"171884 SANDOLANDIA";2;-
"171886 SANTA FE DO ARAGUAIA";5;-
"171888 SANTA MARIA DO TOCANTINS";3;-
"171889 SANTA RITA DO TOCANTINS";1;-
"171890 SANTA ROSA DO TOCANTINS";-;-
"171900 SANTA TEREZA DO TOCANTINS";-;-
"172000 SANTA TEREZINHA DO TOCANTINS";-;-
"172010 SAO BENTO DO TOCANTINS";-;-
"172015 SAO FELIX DO TOCANTINS";-;-
"172020 SAO MIGUEL DO TOCANTINS";1;-
"172025 SAO SALVADOR DO TOCANTINS";1;-
"172030 SAO SEBASTIAO DO TOCANTINS";2;-
"172049 SAO VALERIO";1;-
"172065 SILVANOPOLIS";-;-
"172080 SITIO NOVO DO TOCANTINS";3;1
"172085 SUCUPIRA";-;-
"172090 TAGUATINGA";3;-
"172093 TAIPAS DO TOCANTINS";1;-
"172097 TALISMA";2;-
"172100 PALMAS";71;-
"172110 TOCANTINIA";4;-
"172120 TOCANTINOPOLIS";9;-
"172125 TUPIRAMA";-;-
"172130 TUPIRATINS";-;-
"172208 WANDERLANDIA";3;-
"172210 XAMBIOA";7;-
" MUNICIPIO IGNORADO - MA";4;-
"210005 ACAILANDIA";39;1
"210010 AFONSO CUNHA";5;-
"210015 AGUA DOCE DO MARANHAO";-;1
"210020 ALCANTARA";9;-
"210030 ALDEIAS ALTAS";15;1
"210040 ALTAMIRA DO MARANHAO";-;-
"210043 ALTO ALEGRE DO MARANHAO";8;1
"210047 ALTO ALEGRE DO PINDARE";9;-
"210050 ALTO PARNAIBA";6;-
"210055 AMAPA DO MARANHAO";1;-
"210060 AMARANTE DO MARANHAO";19;1
"210070 ANAJATUBA";9;-
"210080 ANAPURUS";3;-
"210083 APICUM-ACU";5;-
"210087 ARAGUANA";4;-
"210090 ARAIOSES";6;1
"210095 ARAME";15;-
"210100 ARARI";4;-
"210110 AXIXA";3;-
"210120 BACABAL";37;1
"210125 BACABEIRA";5;-
"210130 BACURI";2;-
"210135 BACURITUBA";3;-
"210140 BALSAS";31;3
"210150 BARAO DE GRAJAU";8;1
"210160 BARRA DO CORDA";41;-
"210170 BARREIRINHAS";20;1
"210173 BELAGUA";5;-
"210177 BELA VISTA DO MARANHAO";5;-
"210180 BENEDITO LEITE";-;-
"210190 BEQUIMAO";6;-
"210193 BERNARDO DO MEARIM";1;-
"210197 BOA VISTA DO GURUPI";2;-
"210200 BOM JARDIM";11;-
"210203 BOM JESUS DAS SELVAS";8;-
"210207 BOM LUGAR";3;-
"210210 BREJO";20;-
"210215 BREJO DE AREIA";4;-
"210220 BURITI";11;-
"210230 BURITI BRAVO";6;1
"210232 BURITICUPU";36;-
"210235 BURITIRANA";6;-
"210237 CACHOEIRA GRANDE";9;-
"210240 CAJAPIO";3;1
"210250 CAJARI";8;-
"210255 CAMPESTRE DO MARANHAO";2;-
"210260 CANDIDO MENDES";2;-
"210270 CANTANHEDE";12;1
"210275 CAPINZAL DO NORTE";6;-
"210280 CAROLINA";7;-
"210290 CARUTAPERA";4;-
"210300 CAXIAS";65;1
"210310 CEDRAL";4;-
"210312 CENTRAL DO MARANHAO";2;-
"210315 CENTRO DO GUILHERME";4;-
"210317 CENTRO NOVO DO MARANHAO";5;-
"210320 CHAPADINHA";40;1
"210325 CIDELANDIA";1;-
"210330 CODO";61;-
"210340 COELHO NETO";35;1
"210350 COLINAS";18;1
"210355 CONCEICAO DO LAGO-ACU";7;-
"210360 COROATA";28;1
"210370 CURURUPU";11;-
"210375 DAVINOPOLIS";1;1
"210380 DOM PEDRO";7;-
"210390 DUQUE BACELAR";8;-
"210400 ESPERANTINOPOLIS";3;1
"210405 ESTREITO";10;-
"210407 FEIRA NOVA DO MARANHAO";3;-
"210408 FERNANDO FALCAO";3;-
"210409 FORMOSA DA SERRA NEGRA";4;-
"210410 FORTALEZA DOS NOGUEIRAS";4;-
"210420 FORTUNA";9;-
"210430 GODOFREDO VIANA";-;-
"210440 GONCALVES DIAS";7;-
"210450 GOVERNADOR ARCHER";6;-
"210455 GOVERNADOR EDISON LOBAO";9;-
"210460 GOVERNADOR EUGENIO BARROS";6;-
"210462 GOVERNADOR LUIZ ROCHA";3;-
"210465 GOVERNADOR NEWTON BELLO";6;-
"210467 GOVERNADOR NUNES FREIRE";7;-
"210470 GRACA ARANHA";4;-
"210480 GRAJAU";42;1
"210490 GUIMARAES";2;-
"210500 HUMBERTO DE CAMPOS";12;-
"210510 ICATU";14;-
"210515 IGARAPE DO MEIO";10;-
"210520 IGARAPE GRANDE";4;-
"210530 IMPERATRIZ";83;2
"210535 ITAIPAVA DO GRAJAU";10;-
"210540 ITAPECURU MIRIM";23;1
"210542 ITINGA DO MARANHAO";11;-
"210545 JATOBA";2;-
"210547 JENIPAPO DOS VIEIRAS";5;-
"210550 JOAO LISBOA";16;-
"210560 JOSELANDIA";12;-
"210565 JUNCO DO MARANHAO";2;-
"210570 LAGO DA PEDRA";10;1
"210580 LAGO DO JUNCO";2;1
"210590 LAGO VERDE";9;2
"210592 LAGOA DO MATO";3;-
"210594 LAGO DOS RODRIGUES";4;-
"210596 LAGOA GRANDE DO MARANHAO";6;1
"210598 LAJEADO NOVO";1;-
"210600 LIMA CAMPOS";6;-
"210610 LORETO";4;-
"210620 LUIS DOMINGUES";4;-
"210630 MAGALHAES DE ALMEIDA";8;-
"210632 MARACACUME";8;-
"210635 MARAJA DO SENA";3;-
"210637 MARANHAOZINHO";2;-
"210640 MATA ROMA";10;-
"210650 MATINHA";11;-
"210660 MATOES";19;1
"210663 MATOES DO NORTE";-;-
"210667 MILAGRES DO MARANHAO";1;-
"210670 MIRADOR";8;-
"210675 MIRANDA DO NORTE";8;-
"210680 MIRINZAL";5;-
"210690 MONCAO";11;-
"210700 MONTES ALTOS";7;-
"210710 MORROS";10;1
"210720 NINA RODRIGUES";4;-
"210725 NOVA COLINAS";2;-
"210730 NOVA IORQUE";1;-
"210735 NOVA OLINDA DO MARANHAO";9;-
"210740 OLHO D'AGUA DAS CUNHAS";3;-
"210745 OLINDA NOVA DO MARANHAO";2;-
"210750 PACO DO LUMIAR";40;1
"210760 PALMEIRANDIA";6;-
"210770 PARAIBANO";7;-
"210780 PARNARAMA";12;2
"210790 PASSAGEM FRANCA";10;-
"210800 PASTOS BONS";4;-
"210805 PAULINO NEVES";6;-
"210810 PAULO RAMOS";9;-
"210820 PEDREIRAS";16;-
"210825 PEDRO DO ROSARIO";7;-
"210830 PENALVA";15;-
"210840 PERI MIRIM";6;-
"210845 PERITORO";7;-
"210850 PINDARE-MIRIM";15;-
"210860 PINHEIRO";25;1
"210870 PIO XII";4;1
"210880 PIRAPEMAS";6;-
"210890 POCAO DE PEDRAS";5;1
"210900 PORTO FRANCO";9;-
"210905 PORTO RICO DO MARANHAO";1;-
"210910 PRESIDENTE DUTRA";17;-
"210920 PRESIDENTE JUSCELINO";6;-
"210923 PRESIDENTE MEDICI";1;-
"210927 PRESIDENTE SARNEY";7;-
"210930 PRESIDENTE VARGAS";9;-
"210940 PRIMEIRA CRUZ";4;-
"210945 RAPOSA";13;-
"210950 RIACHAO";6;-
"210955 RIBAMAR FIQUENE";-;-
"210960 ROSARIO";14;-
"210970 SAMBAIBA";-;-
"210975 SANTA FILOMENA DO MARANHAO";2;-
"210980 SANTA HELENA";13;-
"210990 SANTA INES";33;2
"211000 SANTA LUZIA";36;1
"211003 SANTA LUZIA DO PARUA";10;-
"211010 SANTA QUITERIA DO MARANHAO";8;-
"211020 SANTA RITA";8;1
"211023 SANTANA DO MARANHAO";3;-
"211027 SANTO AMARO DO MARANHAO";2;-
"211030 SANTO ANTONIO DOS LOPES";12;-
"211040 SAO BENEDITO DO RIO PRETO";17;1
"211050 SAO BENTO";9;-
"211060 SAO BERNARDO";8;1
"211065 SAO DOMINGOS DO AZEITAO";3;-
"211070 SAO DOMINGOS DO MARANHAO";13;-
"211080 SAO FELIX DE BALSAS";1;-
"211085 SAO FRANCISCO DO BREJAO";1;-
"211090 SAO FRANCISCO DO MARANHAO";3;-
"211100 SAO JOAO BATISTA";12;-
"211102 SAO JOAO DO CARU";4;-
"211105 SAO JOAO DO PARAISO";3;-
"211107 SAO JOAO DO SOTER";7;-
"211110 SAO JOAO DOS PATOS";9;1
"211120 SAO JOSE DE RIBAMAR";46;-
"211125 SAO JOSE DOS BASILIOS";3;-
"211130 SAO LUIS";359;27
"211140 SAO LUIS GONZAGA DO MARANHAO";11;-
"211150 SAO MATEUS DO MARANHAO";17;1
"211153 SAO PEDRO DA AGUA BRANCA";2;-
"211157 SAO PEDRO DOS CRENTES";4;-
"211160 SAO RAIMUNDO DAS MANGABEIRAS";12;-
"211163 SAO RAIMUNDO DO DOCA BEZERRA";1;-
"211167 SAO ROBERTO";1;-
"211170 SAO VICENTE FERRER";6;1
"211172 SATUBINHA";3;-
"211174 SENADOR ALEXANDRE COSTA";10;-
"211176 SENADOR LA ROCQUE";4;-
"211178 SERRANO DO MARANHAO";4;1
"211180 SITIO NOVO";4;-
"211190 SUCUPIRA DO NORTE";2;-
"211195 SUCUPIRA DO RIACHAO";1;-
"211200 TASSO FRAGOSO";1;-
"211210 TIMBIRAS";14;-
"211220 TIMON";54;2
"211223 TRIZIDELA DO VALE";11;-
"211227 TUFILANDIA";4;-
"211230 TUNTUM";14;-
"211240 TURIACU";8;-
"211245 TURILANDIA";7;-
"211250 TUTOIA";15;-
"211260 URBANO SANTOS";16;-
"211270 VARGEM GRANDE";28;-
"211280 VIANA";17;2
"211285 VILA NOVA DOS MARTIRIOS";6;-
"211290 VITORIA DO MEARIM";16;-
"211300 VITORINO FREIRE";10;-
"211400 ZE DOCA";30;-
" MUNICIPIO IGNORADO - PI";2;-
"220005 ACAUA";2;-
"220010 AGRICOLANDIA";6;-
"220020 AGUA BRANCA";5;2
"220025 ALAGOINHA DO PIAUI";2;-
"220027 ALEGRETE DO PIAUI";-;1
"220030 ALTO LONGA";5;-
"220040 ALTOS";12;3
"220045 ALVORADA DO GURGUEIA";1;-
"220050 AMARANTE";7;-
"220060 ANGICAL DO PIAUI";1;-
"220070 ANISIO DE ABREU";3;-
"220080 ANTONIO ALMEIDA";1;-
"220090 AROAZES";3;-
"220095 AROEIRAS DO ITAIM";-;-
"220100 ARRAIAL";4;-
"220105 ASSUNCAO DO PIAUI";5;1
"220110 AVELINO LOPES";3;-
"220115 BAIXA GRANDE DO RIBEIRO";6;-
"220117 BARRA D'ALCANTARA";1;-
"220120 BARRAS";22;-
"220130 BARREIRAS DO PIAUI";3;-
"220140 BARRO DURO";3;1
"220150 BATALHA";4;1
"220155 BELA VISTA DO PIAUI";-;-
"220157 BELEM DO PIAUI";-;-
"220160 BENEDITINOS";3;-
"220170 BERTOLINIA";3;-
"220173 BETANIA DO PIAUI";9;-
"220177 BOA HORA";3;-
"220180 BOCAINA";1;-
"220190 BOM JESUS";5;1
"220191 BOM PRINCIPIO DO PIAUI";1;-
"220192 BONFIM DO PIAUI";2;-
"220194 BOQUEIRAO DO PIAUI";1;-
"220196 BRASILEIRA";3;-
"220198 BREJO DO PIAUI";-;-
"220200 BURITI DOS LOPES";9;2
"220202 BURITI DOS MONTES";1;-
"220205 CABECEIRAS DO PIAUI";3;1
"220207 CAJAZEIRAS DO PIAUI";2;1
"220208 CAJUEIRO DA PRAIA";2;-
"220209 CALDEIRAO GRANDE DO PIAUI";-;-
"220210 CAMPINAS DO PIAUI";1;-
"220211 CAMPO ALEGRE DO FIDALGO";4;-
"220213 CAMPO GRANDE DO PIAUI";2;-
"220217 CAMPO LARGO DO PIAUI";1;1
